open_time,open,high,low,close,volume
1754006400000,115697.30,116000.00,114239.00,115595.70,42604.847
1754020800000,115595.60,115873.40,114579.50,115015.10,21214.534
1754035200000,115015.10,115291.10,114055.60,115246.60,26589.382
1754049600000,115246.50,115956.00,113871.10,115305.30,54800.767
1754064000000,115305.30,115656.80,113173.70,113278.50,46088.416
1754078400000,113278.40,114039.00,112660.00,113244.80,29984.153
1754092800000,113244.80,113873.70,113145.00,113859.90,11027.075
1754107200000,113860.00,114000.00,113415.80,113919.90,11938.326
1754121600000,113920.00,113988.00,113370.00,113732.50,10218.835
1754136000000,113732.60,113740.50,112769.20,112798.60,18494.393
1754150400000,112798.60,113388.90,111910.00,112175.50,36337.074
1754164800000,112175.50,113022.50,112007.90,112508.80,14443.745
1754179200000,112508.80,113694.00,111850.00,113550.90,17961.770
1754193600000,113550.90,113676.40,113285.70,113647.20,6301.771
1754208000000,113647.20,114200.00,113492.50,113810.10,11023.459
1754222400000,113810.00,114049.80,113529.60,113904.30,10900.396
1754236800000,113904.30,114730.00,113727.80,114259.00,10570.464
1754251200000,114259.10,114567.30,114011.30,114150.80,6426.009
1754265600000,114150.90,114963.40,114053.80,114520.20,12295.237
1754280000000,114520.30,114739.30,114089.00,114607.00,9279.797
1754294400000,114607.00,114715.00,114166.00,114450.00,7637.669
1754308800000,114450.10,115431.60,114070.00,114766.30,27575.335
1754323200000,114766.40,115686.00,114681.10,114724.00,17022.068
1754337600000,114724.00,115299.00,114580.40,115002.10,9518.485
1754352000000,115002.10,115073.30,114213.60,114215.00,10318.429
1754366400000,114214.90,114468.10,113650.00,113924.70,16889.881
1754380800000,113924.70,115057.00,113869.50,114782.00,15542.383
1754395200000,114782.10,114860.10,112582.40,112871.80,48789.021
1754409600000,112871.70,113731.70,112755.10,113573.10,16283.201
1754424000000,113573.80,114178.40,113240.10,114069.60,11493.513
1754438400000,114069.60,114091.30,113355.50,113470.10,9186.999
1754452800000,113470.20,114390.20,113304.50,114179.20,14343.657
1754467200000,114179.20,114372.70,113663.30,114188.00,11807.499
1754481600000,114187.90,115488.00,113520.00,115366.30,37775.792
1754496000000,115366.20,115674.20,114867.00,115215.10,18625.447
1754510400000,115215.00,115228.50,114732.80,114941.00,6859.276
1754524800000,114941.00,115144.00,114333.60,114500.80,10847.644
1754539200000,114500.90,114834.40,114211.40,114751.10,10679.936
1754553600000,114751.20,116782.60,114750.00,116469.10,40981.265
1754568000000,116469.10,116747.60,115950.10,116634.60,24976.017
1754582400000,116634.60,117487.20,115555.20,117407.60,31486.178
1754596800000,117407.50,117580.00,116942.20,117419.90,15438.015
1754611200000,117419.90,117591.80,116639.90,116692.20,17323.039
1754625600000,116692.20,116917.10,116342.00,116772.00,10920.557
1754640000000,116772.00,116880.00,116256.00,116840.50,10056.008
1754654400000,116840.60,117229.90,115850.00,116162.00,25731.574
1754668800000,116162.10,116863.90,115949.90,116384.40,18032.069
1754683200000,116384.40,116941.50,116250.00,116628.20,7765.364
1754697600000,116628.20,116703.60,116304.00,116331.50,5712.949
1754712000000,116331.60,116950.10,116309.00,116703.20,14934.749
1754726400000,116703.30,117906.70,116700.00,117064.90,25544.616
1754740800000,117065.00,117200.00,116600.00,116835.60,13944.013
1754755200000,116835.50,116900.90,116458.10,116499.90,7593.202
1754769600000,116499.90,117000.00,116350.00,116422.10,10195.005
1754784000000,116422.10,118500.00,116413.20,118480.10,34945.874
1754798400000,118480.00,118738.00,117342.00,117770.00,29066.653
1754812800000,117770.00,118489.90,117568.90,118295.90,16040.238
1754827200000,118295.90,119094.00,118192.60,118766.00,22868.048
1754841600000,118766.00,118917.40,118395.80,118624.50,7283.134
1754856000000,118624.60,119291.90,118010.00,119255.30,20127.832
1754870400000,119255.30,122165.40,118950.00,121700.10,59538.202
1754884800000,121700.10,122450.00,121432.30,121534.80,27806.843
1754899200000,121534.90,121820.70,120267.30,120545.00,28876.249
1754913600000,120545.00,120655.00,119345.00,120271.20,48113.091
1754928000000,120271.20,120799.00,118499.00,119035.30,32996.458
1754942400000,119035.20,119149.60,118050.00,118641.90,19757.411
1754956800000,118641.80,119246.40,118551.70,118813.10,13300.142
1754971200000,118813.20,119120.00,118377.20,118931.90,14300.013
1754985600000,118931.90,119011.90,118154.30,118464.10,13998.651
1755000000000,118464.20,119927.90,118234.80,119888.00,45134.657
1755014400000,119888.00,120163.60,119124.50,119600.30,22828.660
1755028800000,119600.30,120270.00,119430.00,120081.00,16146.432
1755043200000,120080.90,120146.60,119028.00,119436.00,16859.449
1755057600000,119436.00,119798.60,118829.00,119540.30,16032.891
1755072000000,119540.30,120710.40,119408.80,120538.50,23680.705
1755086400000,120538.40,122218.30,120066.10,120897.20,65444.155
1755100800000,120897.30,122831.10,120897.30,122719.90,32963.963
1755115200000,122720.00,123715.90,122314.10,123323.90,33092.710
1755129600000,123323.90,124545.60,123272.10,123405.20,29585.605
1755144000000,123405.10,123485.30,121318.50,121742.40,41732.330
1755158400000,121742.30,122050.00,120657.60,120947.90,25372.784
1755172800000,120947.80,121154.70,117410.00,118185.90,112404.602
1755187200000,118185.90,118500.00,117004.00,117889.50,32884.838
1755201600000,117889.40,118470.10,117255.00,118242.20,17821.411
1755216000000,118242.20,119039.90,117970.70,118918.10,14657.063
1755230400000,118918.10,119184.00,118569.70,118908.30,13276.330
1755244800000,118908.40,119114.90,118550.00,118950.00,8916.305
1755259200000,118950.10,119068.80,116750.00,117216.80,48081.547
1755273600000,117216.80,117859.40,116736.30,116900.00,24658.013
1755288000000,116900.00,117711.00,116820.50,117279.20,10953.099
1755302400000,117279.10,117853.50,117162.60,117385.00,10472.387
1755316800000,117385.00,117857.10,117226.80,117549.90,8878.588
1755331200000,117550.00,117664.90,117089.70,117340.40,8197.037
1755345600000,117340.50,117786.00,117268.50,117626.90,7789.925
1755360000000,117627.00,117774.50,117588.70,117622.30,4894.852
1755374400000,117622.30,117673.90,117137.40,117329.70,6441.631
1755388800000,117329.80,117722.50,117121.60,117627.40,5731.934
1755403200000,117627.30,118187.00,117627.30,117949.90,9439.515
1755417600000,117950.00,118435.00,117865.00,118253.90,9265.939
1755432000000,118254.00,118558.00,118010.00,118191.00,7883.199
1755446400000,118191.00,118267.90,117245.00,117527.00,15033.475
1755460800000,117527.00,117945.00,117322.20,117353.80,7032.742
1755475200000,117353.90,117499.40,114950.30,115264.90,46974.544
1755489600000,115264.80,115684.50,114815.20,115153.20,22828.276
1755504000000,115153.20,115342.50,114605.00,114900.00,17981.665
1755518400000,114900.10,116137.80,114769.20,116099.40,28586.539
1755532800000,116099.40,116761.00,115773.30,116273.40,19769.430
1755547200000,116273.40,116938.70,115929.90,116183.60,11079.325
1755561600000,116183.60,116687.70,114734.80,114756.60,21808.316
1755576000000,114756.70,115430.00,114303.80,114928.70,19906.291
1755590400000,114928.70,115608.50,114750.00,115461.00,11178.156
1755604800000,115461.00,115847.40,113506.00,113730.00,44225.425
1755619200000,113730.10,113844.00,112714.40,113078.30,29407.714
1755633600000,113078.20,113524.50,112666.60,112824.20,14498.385
1755648000000,112824.10,113599.40,112500.00,113465.40,21619.508
1755662400000,113465.40,113805.50,113360.90,113436.70,9143.536
1755676800000,113436.70,113978.00,113009.50,113627.50,15623.162
1755691200000,113627.40,114279.30,112301.80,113297.00,45124.338
1755705600000,113296.90,114411.00,113200.00,114216.30,27678.020
1755720000000,114216.30,114569.00,113941.90,114220.50,11333.806
1755734400000,114220.50,114777.00,113843.70,113912.10,13829.073
1755748800000,113912.00,113997.10,113520.00,113836.80,9921.262
1755763200000,113836.80,113947.40,112924.60,113100.20,12824.800
1755777600000,113100.00,113936.00,112545.40,112748.90,27324.857
1755792000000,112748.80,112940.60,111944.00,112152.80,21010.133
1755806400000,112152.80,112833.30,112010.00,112462.20,11496.231
1755820800000,112462.20,113485.90,112273.20,112889.90,15818.142
1755835200000,112890.00,113350.20,112655.50,113040.10,12847.566
1755849600000,113040.00,113273.90,112130.30,112272.80,13076.590
1755864000000,112272.90,117266.90,111625.90,116319.30,110185.220
1755878400000,116319.40,117397.40,116046.50,116625.50,35551.395
1755892800000,116625.40,117140.60,116510.00,116897.50,11969.064
1755907200000,116897.50,116988.00,115414.30,115522.50,21833.348
1755921600000,115522.60,116015.30,115504.60,115769.90,10604.533
1755936000000,115770.00,115840.40,115180.00,115266.70,9759.963
